step,hour,action,action_description,pv_power_kw,load_kw,grid_import_kw,grid_export_kw,battery_charge_kw,battery_discharge_kw,soc,soh,battery_temp_k,grid_price,cost_grid_import,revenue_grid_export,soc_penalty,thermal_penalty,reward,td_error,cumulative_cost,cumulative_revenue
0,0,0,PV -> Load; excess PV -> Battery,0.0,1.536634426000764,1.536634426000764,0.0,0.0,0.0,0.5,1.0,298.15,0.08433788819868285,0.12959650242229964,0.0,0.0,0.0,-0.12959650242229964,0.12902574725605476,0.12959650242229964,0.0
1,1,0,PV -> Load; excess PV -> Battery,0.0,1.6017267480118285,1.6017267480118285,0.0,0.0,0.0,0.5,1.0,298.15,0.08030691541892085,0.12862973447680906,0.0,0.0,0.0,-0.12862973447680906,0.11608733407090813,0.25822623689910873,0.0
2,2,3,Grid -> Load; Grid -> Battery (arbitrage),0.0,1.4121705927971895,3.4121705927971897,0.0,2.0,0.0,0.596,1.0,976.8838965224671,0.08098025833329227,0.2763184560819794,0.0,0.0,1353.4677930449343,-1353.7441115010163,1096.549851779076,0.5345446929810882,0.0
3,3,2,Battery -> Load; Grid supplements if needed,0.0,1.3636990315311979,0.0,0.0,0.0,1.3636990315311979,0.5234628174717447,1.0,1297.265307077476,0.08340938718392739,0.0,0.0,0.0,636.762821110018,-636.762821110018,586.7544695778661,0.5345446929810882,0.0
4,4,3,Grid -> Load; Grid -> Battery (arbitrage),0.0,1.2012242683317953,3.2012242683317953,0.0,2.0,0.0,0.6194628174717447,1.0,1972.692243846731,0.08247273180730391,0.26401371053716083,0.0,0.0,1346.8538735385096,-1347.1178872490468,1090.8382171584449,0.798558403518249,0.0
5,5,2,Battery -> Load; Grid supplements if needed,0.0,1.6457434472979302,0.0,0.0,0.0,1.6457434472979302,0.5319232724027059,1.0,2438.4747996056235,0.08173686953133452,0.0,0.0,0.0,927.5651115177852,-927.5651115177852,751.097638788174,0.798558403518249,0.0
6,6,3,Grid -> Load; Grid -> Battery (arbitrage),0.02555608958444414,1.5024985950864072,3.502498595086407,0.0,2.0,0.0,0.6279232724027058,1.0,3112.715206684582,0.0788624882488378,0.2762157542965727,0.0,0.0,1344.480814157917,-1344.7570299122135,1344.7672207381715,1.0747741578148218,0.0
7,7,2,Battery -> Load; Grid supplements if needed,0.043048417732596676,5.030859701742024,0.0,0.0,0.0,5.030859701742024,0.360324352097279,1.0,7664.8190302140665,0.07694337934748041,0.0,0.0,0.0,9100.207647058969,-9100.207647058969,9100.198593908875,1.0747741578148218,0.0
8,8,2,Battery -> Load; Grid supplements if needed,0.06462776240865938,4.882460768524158,0.0,0.0,0.0,4.882460768524158,0.10061899206939817,1.0,12698.093511534835,0.08112850668857981,0.0,0.0,0.0,10062.548962641536,-10062.548962641536,10062.55575279573,1.0747741578148218,0.0
9,9,1,PV -> Load; excess PV -> Grid (sell),0.08679099253779478,1.683974704392894,1.5971837118550993,0.0,0.0,0.0,0.10061899206939817,1.0,12698.093511534835,0.13846412147135345,0.22115263949037167,0.0,0.0,0.0,-0.22115263949037167,0.20739978928745031,1.2959267973051936,0.0
