step,hour,action,action_description,pv_power_kw,load_kw,grid_import_kw,grid_export_kw,battery_charge_kw,battery_discharge_kw,soc,soh,battery_temp_k,grid_price,cost_grid_import,revenue_grid_export,soc_penalty,thermal_penalty,reward,td_error,cumulative_cost,cumulative_revenue
10,10,3,Grid -> Load; Grid -> Battery (arbitrage),0.10523185681127746,1.6414800866517025,3.6414800866517023,0.0,2.0,0.0,0.19661899206939817,0.99999712,13472.022622671897,0.14248170459649723,0.5188442900003349,0.0,0.0,1543.8582222741243,-1544.3770665641246,1544.373900725221,1.8147710873055285,0.0
11,11,3,Grid -> Load; Grid -> Battery (arbitrage),0.11722653629029267,1.4817264177768465,3.4817264177768465,0.0,2.0,0.0,0.29261926855019443,0.99999712,14212.819492913834,0.24063376334415232,0.8378209308443969,0.0,0.0,1477.5937404838733,-1478.4315614147176,1478.4207925183978,2.6525920181499254,0.0
12,12,0,PV -> Load; excess PV -> Battery,0.08571878268920424,2.4166204813146575,2.3309016986254534,0.0,0.0,0.0,0.29261926855019443,0.99999712,14212.819492913834,0.2377641169450106,0.5542047840593062,0.0,0.0,0.0,-0.5542047840593062,0.5484742631800418,3.2067968022092317,0.0
13,13,3,Grid -> Load; Grid -> Battery (arbitrage),0.12287266260933362,2.446496292391213,4.446496292391213,0.0,2.0,0.0,0.3886195450309907,0.99999712,14923.591047422107,0.24080317578852348,1.0707304283396992,0.0,0.0,1417.5431090165475,-1418.6138394448872,1418.600530228723,4.277527230548931,0.0
14,14,0,PV -> Load; excess PV -> Battery,0.11872033060179682,1.3802061686363025,1.2614858380345058,0.0,0.0,0.0,0.3886195450309907,0.99999712,14923.591047422107,0.1421275414244134,0.17929188070156005,0.0,0.0,0.0,-0.17929188070156005,0.13216397779808087,4.456819111250491,0.0
15,15,1,PV -> Load; excess PV -> Grid (sell),0.0306683208453289,1.503984622386081,1.4733163015407522,0.0,0.0,0.0,0.3886195450309907,0.99999712,14923.591047422107,0.14053256034884412,0.20704891205921158,0.0,0.0,0.0,-0.20704891205921158,0.18276229302101973,4.6638680233097025,0.0
16,16,3,Grid -> Load; Grid -> Battery (arbitrage),0.03769795499488382,1.407574842044918,3.4075748420449177,0.0,2.0,0.0,0.484619821511787,0.99999712,15618.35961561847,0.13765229270615878,0.46906048957530977,0.0,0.0,1385.537136392726,-1386.0061968823013,1245.5235236360265,5.132928512885012,0.0
17,17,3,Grid -> Load; Grid -> Battery (arbitrage),0.07870839479204703,1.5878313780813063,3.5878313780813063,0.0,2.0,0.0,0.5806200979925833,0.99999712,16299.2744230913,0.2407869869990193,0.863903107388737,0.0,0.0,1357.8296149456582,-1358.693518053047,1358.6749410129116,5.996831620273749,0.0
18,18,2,Battery -> Load; Grid supplements if needed,0.058208273426280335,5.446079713801188,0.0,0.0,0.0,5.446079713801188,0.2909341725374803,0.99999712,21796.276372238153,0.2410710051141639,0.0,0.0,0.0,10990.003898293708,-10990.003898293708,10990.005246680917,5.996831620273749,0.0
19,19,2,Battery -> Load; Grid supplements if needed,0.03871959616263759,5.446906440409096,1.857354334644305,0.0,0.0,3.589552105764791,0.1,0.99999712,24518.373688355066,0.24247286212792932,0.4503580215069205,0.0,0.0,5440.194632233826,-5440.644990255333,5440.64007401126,6.447189641780669,0.0
20,20,2,Battery -> Load; Grid supplements if needed,0.023068944457855043,5.730587950630299,5.730587950630299,0.0,0.0,0.0,0.1,0.99999712,24518.373688355066,0.14216610326797763,0.8146953583755353,0.0,0.0,0.0,-0.8146953583755353,0.8142801749764891,7.261885000156204,0.0
21,21,3,Grid -> Load; Grid -> Battery (arbitrage),0.0,1.3911420716171916,3.3911420716171916,0.0,2.0,0.0,0.19600027648079626,0.9999942399917056,25292.72925354461,0.07727522746109698,0.2620512749371141,0.0,0.0,1544.711130379088,-1544.9731816540252,1390.4733496254617,7.523936275093319,0.0
22,22,1,PV -> Load; excess PV -> Grid (sell),0.0,1.2648126168081804,1.2648126168081804,0.0,0.0,0.0,0.19600027648079626,0.9999942399917056,25292.72925354461,0.07850668593139112,0.09929624686982076,0.0,0.0,0.0,-0.09929624686982076,0.08284667390028072,7.623232521963139,0.0
23,23,2,Battery -> Load; Grid supplements if needed,0.0,1.554932278861117,0.0,0.0,0.0,1.554932278861117,0.11329063630337445,0.9999942399917056,25797.26653265827,0.08181713938386,0.0,0.0,0.0,1005.0745582273157,-1005.0745582273157,839.2180588219921,7.623232521963139,0.0
