step,hour,action,action_description,pv_power_kw,load_kw,grid_import_kw,grid_export_kw,battery_charge_kw,battery_discharge_kw,soc,soh,battery_temp_k,grid_price,cost_grid_import,revenue_grid_export,soc_penalty,thermal_penalty,reward,td_error,cumulative_cost,cumulative_revenue
0,0,2,Battery -> Load; Grid supplements if needed,0.0,1.536634426000764,0.0,0.0,0.0,1.536634426000764,0.41826412627655507,1.0,298.2539823003145,0.08433788819868285,0.0,0.0,0.0,0.0,0.0,0.0011014310579728357,0.0,0.0
1,1,2,Battery -> Load; Grid supplements if needed,0.0,1.6017267480118285,0.0,0.0,0.0,1.6017267480118285,0.33306589499933015,1.0,298.37070086690665,0.08030691541892085,0.0,0.0,0.0,0.0,0.0,0.004379608640678716,0.0,0.0
2,2,2,Battery -> Load; Grid supplements if needed,0.0,1.4121705927971895,0.0,0.0,0.0,1.4121705927971895,0.25795043793564987,1.0,298.46444307376265,0.08098025833329227,0.0,0.0,0.0,0.0,0.0,0.0034104799985258997,0.0,0.0
3,3,2,Battery -> Load; Grid supplements if needed,0.0,1.3636990315311979,0.0,0.0,0.0,1.3636990315311979,0.18541325540739467,1.0,298.5553007180549,0.08340938718392739,0.0,0.0,0.0,0.0,0.0,0.003325717936851642,0.0,0.0
4,4,0,PV -> Load; excess PV -> Battery,0.0,1.2012242683317953,1.2012242683317953,0.0,0.0,0.0,0.18541325540739467,1.0,298.5553007180549,0.08247273180730391,0.09906824692255302,0.0,0.0,0.0,-0.09906824692255302,0.09698772496486033,0.09906824692255302,0.0
5,5,0,PV -> Load; excess PV -> Battery,0.0,1.6457434472979302,1.6457434472979302,0.0,0.0,0.0,0.18541325540739467,1.0,298.5553007180549,0.08173686953133452,0.13451791743383965,0.0,0.0,0.0,-0.13451791743383965,0.12669592370653124,0.23358616435639268,0.0
6,6,2,Battery -> Load; Grid supplements if needed,0.02555608958444414,1.5024985950864072,0.0,0.0,0.0,1.5024985950864072,0.10549311737088365,1.0,298.6739253615608,0.0788624882488378,0.0,0.0,0.0,0.0,0.0,0.00681469674714225,0.23358616435639268,0.0
7,7,1,PV -> Load; excess PV -> Grid (sell),0.043048417732596676,5.030859701742024,4.987811284009427,0.0,0.0,0.0,0.10549311737088365,1.0,298.6739253615608,0.07694337934748041,0.3837790557391807,0.0,0.0,0.0,-0.3837790557391807,0.39044093009784575,0.6173652200955734,0.0
8,8,2,Battery -> Load; Grid supplements if needed,0.06462776240865938,4.882460768524158,4.779190161951545,0.0,0.0,0.1032706065726126,0.1,1.0,298.6744886315179,0.08112850668857981,0.38772856101988074,0.0,0.0,0.0,-0.38772856101988074,0.3866219220379333,1.005093781115454,0.0
9,9,0,PV -> Load; excess PV -> Battery,0.08679099253779478,1.683974704392894,1.5971837118550993,0.0,0.0,0.0,0.1,1.0,298.6744886315179,0.13846412147135345,0.22115263949037167,0.0,0.0,0.0,-0.22115263949037167,0.21607161377331188,1.226246420605826,0.0
10,10,3,Grid -> Load; Grid -> Battery (arbitrage),0.10523185681127746,1.6414800866517025,3.6414800866517023,0.0,2.0,0.0,0.196,1.0,298.86807757047654,0.14248170459649723,0.5188442900003349,0.0,0.0,0.0,-0.5188442900003349,0.5198792176368763,1.7450907106061608,0.0
11,11,2,Battery -> Load; Grid supplements if needed,0.11722653629029267,1.4817264177768465,0.0,0.0,0.0,1.4817264177768465,0.11718476501186986,1.0,298.9822034722152,0.24063376334415232,0.0,0.0,0.0,0.0,0.0,0.17730307422239056,1.7450907106061608,0.0
12,12,2,Battery -> Load; Grid supplements if needed,0.08571878268920424,2.4166204813146575,2.0935468990915043,0.0,0.0,0.3230735822231533,0.1,1.0,298.9877161933826,0.2377641169450106,0.4977703297454567,0.0,0.0,0.0,-0.4977703297454567,0.48872395894447335,2.2428610403516176,0.0
13,13,0,PV -> Load; excess PV -> Battery,0.12287266260933362,2.446496292391213,2.323623629781879,0.0,0.0,0.0,0.1,1.0,298.9877161933826,0.24080317578852348,0.5595359493887329,0.0,0.0,0.0,-0.5595359493887329,0.39396594053922684,2.8023969897403505,0.0
14,14,2,Battery -> Load; Grid supplements if needed,0.11872033060179682,1.3802061686363025,1.3802061686363025,0.0,0.0,0.0,0.1,1.0,298.9877161933826,0.1421275414244134,0.19616530940708699,0.0,0.0,0.0,-0.19616530940708699,0.196198757491634,2.998562299147437,0.0
15,15,1,PV -> Load; excess PV -> Grid (sell),0.0306683208453289,1.503984622386081,1.4733163015407522,0.0,0.0,0.0,0.1,1.0,298.9877161933826,0.14053256034884412,0.20704891205921158,0.0,0.0,0.0,-0.20704891205921158,0.12695741177616776,3.205611211206649,0.0
16,16,2,Battery -> Load; Grid supplements if needed,0.03769795499488382,1.407574842044918,1.407574842044918,0.0,0.0,0.0,0.1,1.0,298.9877161933826,0.13765229270615878,0.19375590416299224,0.0,0.0,0.0,-0.19375590416299224,0.15555687955545983,3.399367115369641,0.0
17,17,3,Grid -> Load; Grid -> Battery (arbitrage),0.07870839479204703,1.5878313780813063,3.5878313780813063,0.0,2.0,0.0,0.196,1.0,299.18130513234127,0.2407869869990193,0.863903107388737,0.0,0.0,0.0,-0.863903107388737,1.2430934672405678,4.263270222758378,0.0
18,18,1,PV -> Load; excess PV -> Grid (sell),0.058208273426280335,5.446079713801188,5.387871440374908,0.0,0.0,0.0,0.196,1.0,299.18130513234127,0.2410710051141639,1.298859583557077,0.0,0.0,0.0,-1.298859583557077,0.9128685873850108,5.562129806315456,0.0
19,19,2,Battery -> Load; Grid supplements if needed,0.03871959616263759,5.446906440409096,3.6421064404090964,0.0,0.0,1.8047999999999997,0.1,1.0,299.35334190897726,0.24247286212792932,0.8831119727805582,0.0,0.0,0.0,-0.8831119727805582,0.48413056148472244,6.445241779096014,0.0
20,20,0,PV -> Load; excess PV -> Battery,0.023068944457855043,5.730587950630299,5.7075190061724435,0.0,0.0,0.0,0.1,1.0,299.35334190897726,0.14216610326797763,0.8114157364354566,0.0,0.0,0.0,-0.8114157364354566,0.894878033250856,7.2566575155314705,0.0
