step,hour,action,action_description,pv_power_kw,load_kw,grid_import_kw,grid_export_kw,battery_charge_kw,battery_discharge_kw,soc,soh,battery_temp_k,grid_price,cost_grid_import,revenue_grid_export,soc_penalty,thermal_penalty,reward,td_error,cumulative_cost,cumulative_revenue
0,0,2,Battery -> Load; Grid supplements if needed,0.0,1.536634426000764,0.0,0.0,0.0,1.536634426000764,0.41826412627655507,1.0,298.2539823003145,0.08433788819868285,0.0,0.0,0.0,0.0,0.0,0.00850484080406455,0.0,0.0
1,1,1,PV -> Load; excess PV -> Grid (sell),0.0,1.6017267480118285,1.6017267480118285,0.0,0.0,0.0,0.41826412627655507,1.0,298.2539823003145,0.08030691541892085,0.12862973447680906,0.0,0.0,0.0,-0.12862973447680906,0.12595543082648297,0.12862973447680906,0.0
2,2,2,Battery -> Load; Grid supplements if needed,0.0,1.4121705927971895,0.0,0.0,0.0,1.4121705927971895,0.3431486692128748,1.0,298.3443158738765,0.08098025833329227,0.0,0.0,0.0,0.0,0.0,0.036284870638644176,0.12862973447680906,0.0
3,3,2,Battery -> Load; Grid supplements if needed,0.0,1.3636990315311979,0.0,0.0,0.0,1.3636990315311979,0.2706114866846196,1.0,298.43124963991517,0.08340938718392739,0.0,0.0,0.0,0.0,0.0,0.025636737799796916,0.12862973447680906,0.0
4,4,0,PV -> Load; excess PV -> Battery,0.0,1.2012242683317953,1.2012242683317953,0.0,0.0,0.0,0.2706114866846196,1.0,298.43124963991517,0.08247273180730391,0.09906824692255302,0.0,0.0,0.0,-0.09906824692255302,0.15819846007513597,0.2276979813993621,0.0
5,5,2,Battery -> Load; Grid supplements if needed,0.0,1.6457434472979302,0.0,0.0,0.0,1.6457434472979302,0.18307194161558074,1.0,298.563854332103,0.08173686953133452,0.0,0.0,0.0,0.0,0.0,0.16374569038113837,0.2276979813993621,0.0
6,6,3,Grid -> Load; Grid -> Battery (arbitrage),0.02555608958444414,1.5024985950864072,3.502498595086407,0.0,2.0,0.0,0.27907194161558074,1.0,298.75015100599967,0.0788624882488378,0.2762157542965727,0.0,0.0,0.0,-0.2762157542965727,0.1984718503476881,0.5039137356959348,0.0
7,7,0,PV -> Load; excess PV -> Battery,0.043048417732596676,5.030859701742024,4.987811284009427,0.0,0.0,0.0,0.27907194161558074,1.0,298.75015100599967,0.07694337934748041,0.3837790557391807,0.0,0.0,0.0,-0.3837790557391807,0.2701968121009447,0.8876927914351155,0.0
8,8,2,Battery -> Load; Grid supplements if needed,0.06462776240865938,4.882460768524158,1.5159082661512406,0.0,0.0,3.3665525023729175,0.1,1.0,299.3487471512573,0.08112850668857981,0.12298337390972434,0.0,0.0,0.0,-0.12298337390972434,0.47339673862971643,1.0106761653448397,0.0
9,9,3,Grid -> Load; Grid -> Battery (arbitrage),0.08679099253779478,1.683974704392894,3.6839747043928943,0.0,2.0,0.0,0.196,1.0,299.542336090216,0.13846412147135345,0.5100983209664511,0.0,0.0,0.0,-0.5100983209664511,0.5586240169725115,1.5207744863112909,0.0
